AnswerID,Answer
ADAM_0003147_Sec1.txt,"Question: What is (are) Polycystic ovary syndrome ? (Also called: Polycystic ovaries; Polycystic ovary disease; Stein-Leventhal syndrome; Polyfollicular ovarian disease)
URL: https://www.nlm.nih.gov/medlineplus/ency/article/000369.htm
Answer: Polycystic ovary syndrome is a condition in which a woman has an imbalance of female sex hormones. This may lead to changes in the menstrual cycle, cysts in the ovaries, trouble getting pregnant, and other health problems.) 
"
ADAM_0003147_Sec2.txt,"Question: What causes Polycystic ovary syndrome ? (Also called: Polycystic ovaries; Polycystic ovary disease; Stein-Leventhal syndrome; Polyfollicular ovarian disease)
URL: https://www.nlm.nih.gov/medlineplus/ency/article/000369.htm
Answer: PCOS is linked to changes in hormone levels that make it harder for the ovaries to release fully-grown (mature) eggs. The reasons for these changes are unclear. The hormones affected are:  - Estrogen and progesterone, the female hormones that help a woman's ovaries release eggs   - Androgen, a male hormone that is found in small amounts in women   Normally, one or more eggs are released during a woman's cycle. This is known as ovulation. In most cases, this release of eggs occurs about 2 weeks after the start of a menstrual period.   In PCOS, mature eggs are not released. Instead, they stay in the ovaries with a small amount of fluid around them. There can be many of these. However, not all women with the condition will have ovaries with this appearance.   These problems with the release of eggs can contribute to infertility. The other symptoms of this disorder are due to thehormoneimbalances.  Most of the time, PCOS is diagnosed in women in their 20s or 30s. However, it may also affect teenage girls. The symptoms often begin when a girl's periods start. Women with this disorder often have a mother or sister who has similar symptoms.) 
"
ADAM_0002818_Sec2.txt,"Question: What causes Noonan syndrome ?
URL: https://www.nlm.nih.gov/medlineplus/ency/article/001656.htm
Answer: Noonan syndrome is linked to defects in several genes. Certain proteins involved in growth and development become overactive as a result of these gene changes.  Noonan syndrome is an autosomal dominant condition. This means only one parent has to pass down the nonworking gene for the child to have the syndrome. However, some cases may not be inherited.) 
"
ADAM_0002818_Sec7.txt,"Question: What are the complications of Noonan syndrome ?
URL: https://www.nlm.nih.gov/medlineplus/ency/article/001656.htm
Answer: - Buildup of fluid in tissues of body (lymphedema, cystic hygroma)  - Failure to thrive in infants  - Low self-esteem  - Infertility in males if both testes are undescended  - Problems with the structure of the heart  - Short height  - Social problems due to physical symptoms) 
"
ADAM_0002818_Sec9.txt,"Question: How to prevent Noonan syndrome ?
URL: https://www.nlm.nih.gov/medlineplus/ency/article/001656.htm
Answer: Couples with a family history of Noonan syndrome may want to consider genetic counseling before having children.) 
"
GARD_0004375_Sec1.txt,"Question: What are the symptoms of Neurofibromatosis-Noonan syndrome ? (Also called: NFNS; Noonan neurofibromatosis syndrome; Neurofibromatosis with Noonan phenotype; Neurofibromatosis)
URL: https://rarediseases.info.nih.gov/gard/372/neurofibromatosis-noonan-syndrome
Answer: What are the signs and symptoms of Neurofibromatosis-Noonan syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Neurofibromatosis-Noonan syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the helix 90% Abnormality of the pulmonary valve 90% Aplasia/Hypoplasia of the abdominal wall musculature 90% Cafe-au-lait spot 90% Cognitive impairment 90% Hypertelorism 90% Hypertrophic cardiomyopathy 90% Low-set, posteriorly rotated ears 90% Ptosis 90% Short stature 90% Webbed neck 90% Abnormality of coagulation 50% Abnormality of the lymphatic system 50% Abnormality of the thorax 50% Cryptorchidism 50% Feeding difficulties in infancy 50% Lisch nodules 5% Autosomal dominant inheritance - Axillary freckling - Cubitus valgus - Delayed speech and language development - Depressed nasal bridge - Epicanthus - Hypoplasia of midface - Inguinal freckling - Low posterior hairline - Low-set ears - Macrocephaly - Malar flattening - Muscle weakness - Neurofibromas - Optic glioma - Pectus excavatum of inferior sternum - Posteriorly rotated ears - Prominent nasolabial fold - Pulmonic stenosis - Scoliosis - Secundum atrial septal defect - Short neck - Specific learning disability - Superior pectus carinatum - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.) 
"
GARD_0004450_Sec3.txt,"Question: Is Noonan syndrome inherited ? (Also called: Male Turner Syndrome; Noonan-Ehmke syndrome; Ullrich-Noonan syndrome; Female Pseudo-Turner Syndrome; Pseudo-Ullrich-Turner syndrome; Noonan syndrome 1; Noonan syndrome 2; Noonan syndrome 3; Noonan syndrome 4; Noonan syndrome 5)
URL: https://rarediseases.info.nih.gov/gard/10955/noonan-syndrome
Answer: How is Noonan syndrome inherited? Noonan syndrome is inherited in an autosomal dominant manner. This means that having one changed (mutated) copy of the responsible gene in each cell is enough to cause the condition. Each child of a person with Noonan syndrome has a 50% (1 in 2) chance to inherit the condition. In some cases, the condition is inherited from an affected parent. Because the features of the condition can vary and may be very subtle, many affected adults are diagnosed only after the birth of a more obviously affected infant. In other cases, the condition is caused by a new mutation occurring for the first time in the affected person.) 
"
GARD_0004450_Sec4.txt,"Question: What are the treatments for Noonan syndrome ? (Also called: Male Turner Syndrome; Noonan-Ehmke syndrome; Ullrich-Noonan syndrome; Female Pseudo-Turner Syndrome; Pseudo-Ullrich-Turner syndrome; Noonan syndrome 1; Noonan syndrome 2; Noonan syndrome 3; Noonan syndrome 4; Noonan syndrome 5)
URL: https://rarediseases.info.nih.gov/gard/10955/noonan-syndrome
Answer: How might Noonan syndrome be treated? Management generally focuses on the specific signs and symptoms present in each person. Treatments for the complications of Noonan syndrome (such as cardiovascular abnormalities) are generally standard and do not differ from treatment in the general population. Developmental disabilities are addressed by early intervention programs and individualized education strategies. Treatment for serious bleeding depends upon the specific factor deficiency or platelet abnormality. Growth hormone treatment increases growth velocity. More detailed information about treatment for Noonan syndrome can be viewed on the GeneReviews Web site.) 
"
GHR_0000804_Sec2.txt,"Question: How many people are affected by polycystic kidney disease ? (Also called: PKD; polycystic renal disease)
URL: https://ghr.nlm.nih.gov/condition/polycystic-kidney-disease
Answer: Polycystic kidney disease is a fairly common genetic disorder. It affects about 500,000 people in the United States. The autosomal dominant form of the disease is much more common than the autosomal recessive form. Autosomal dominant polycystic kidney disease affects 1 in 500 to 1,000 people, while the autosomal recessive type occurs in an estimated 1 in 20,000 to 40,000 people.) 
"
GHR_0000804_Sec5.txt,"Question: What are the treatments for polycystic kidney disease ? (Also called: PKD; polycystic renal disease)
URL: https://ghr.nlm.nih.gov/condition/polycystic-kidney-disease
Answer: These resources address the diagnosis or management of polycystic kidney disease:  - Gene Review: Gene Review: Polycystic Kidney Disease, Autosomal Dominant  - Gene Review: Gene Review: Polycystic Kidney Disease, Autosomal Recessive  - Genetic Testing Registry: Polycystic kidney disease 2  - Genetic Testing Registry: Polycystic kidney disease 3, autosomal dominant  - Genetic Testing Registry: Polycystic kidney disease, adult type  - Genetic Testing Registry: Polycystic kidney disease, infantile type  - MedlinePlus Encyclopedia: Polycystic kidney disease   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care) 
"
